1470071066 register_local_0_1 POST_SCRIPT_STARTED 170544.0 local - 19
1470071071 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 170541.0 local - 16
1470071071 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 16
1470071071 register_local_0_1 POST_SCRIPT_TERMINATED 170544.0 local - 19
1470071071 register_local_0_1 POST_SCRIPT_SUCCESS 0 local - 19
1470071071 register_local_0_0 SUBMIT 170545.0 local - 20
1470071076 register_local_0_0 EXECUTE 170545.0 local - 20
1470071076 register_local_0_0 JOB_TERMINATED 170545.0 local - 20
1470071076 register_local_0_0 JOB_SUCCESS 0 local - 20
1470071076 register_local_0_0 POST_SCRIPT_STARTED 170545.0 local - 20
1470071081 register_local_0_0 POST_SCRIPT_TERMINATED 170545.0 local - 20
1470071081 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 20
1470071222 e.qc1.2_ID0000004 JOB_TERMINATED 170540.0 local - 15
1470071222 e.qc1.2_ID0000004 JOB_SUCCESS 0 local - 15
1470071222 e.qc1.2_ID0000004 POST_SCRIPT_STARTED 170540.0 local - 15
1470071222 e.qc2.2_ID0000006 JOB_TERMINATED 170543.0 local - 18
1470071222 e.qc2.2_ID0000006 JOB_SUCCESS 0 local - 18
1470071222 e.qc2.2_ID0000006 POST_SCRIPT_STARTED 170543.0 local - 18
1470071227 e.qc1.2_ID0000004 POST_SCRIPT_TERMINATED 170540.0 local - 15
1470071227 e.qc1.2_ID0000004 POST_SCRIPT_SUCCESS 0 local - 15
1470071227 e.qc2.2_ID0000006 POST_SCRIPT_TERMINATED 170543.0 local - 18
1470071227 e.qc2.2_ID0000006 POST_SCRIPT_SUCCESS 0 local - 18
1470071235 stage_out_local_local_1_0 SUBMIT 170546.0 local - 21
1470071235 clean_up_local_level_4_1 SUBMIT 170547.0 local - 22
1470071240 stage_out_local_local_1_0 EXECUTE 170546.0 local - 21
1470071240 clean_up_local_level_4_1 EXECUTE 170547.0 local - 22
1470071250 clean_up_local_level_4_1 JOB_TERMINATED 170547.0 local - 22
1470071250 clean_up_local_level_4_1 JOB_SUCCESS 0 local - 22
1470071250 clean_up_local_level_4_1 POST_SCRIPT_STARTED 170547.0 local - 22
1470071255 clean_up_local_level_4_1 POST_SCRIPT_TERMINATED 170547.0 local - 22
1470071255 clean_up_local_level_4_1 POST_SCRIPT_SUCCESS 0 local - 22
1470071395 e.filters1.2_ID0000008 JOB_TERMINATED 170539.0 local - 14
1470071395 e.filters1.2_ID0000008 JOB_SUCCESS 0 local - 14
1470071395 e.filters1.2_ID0000008 POST_SCRIPT_STARTED 170539.0 local - 14
1470071401 e.filters1.2_ID0000008 POST_SCRIPT_TERMINATED 170539.0 local - 14
1470071401 e.filters1.2_ID0000008 POST_SCRIPT_SUCCESS 0 local - 14
1470071412 e.lowabundance1.1_ID0000010 SUBMIT 170548.0 local - 23
1470071412 e.lowabundance1.1_ID0000010 EXECUTE 170548.0 local - 23
1470071412 stage_out_local_local_1_1 SUBMIT 170549.0 local - 24
1470071412 clean_up_local_level_4_0 SUBMIT 170550.0 local - 25
1470071417 stage_out_local_local_1_0 JOB_TERMINATED 170546.0 local - 21
1470071417 stage_out_local_local_1_0 JOB_FAILURE 1 local - 21
1470071417 stage_out_local_local_1_0 POST_SCRIPT_STARTED 170546.0 local - 21
1470071417 stage_out_local_local_1_1 EXECUTE 170549.0 local - 24
1470071417 clean_up_local_level_4_0 EXECUTE 170550.0 local - 25
1470071422 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 170546.0 local - 21
1470071422 stage_out_local_local_1_0 POST_SCRIPT_FAILURE 1 local - 21
1470071422 stage_out_local_local_1_1 JOB_TERMINATED 170549.0 local - 24
1470071422 stage_out_local_local_1_1 JOB_SUCCESS 0 local - 24
1470071422 stage_out_local_local_1_1 POST_SCRIPT_STARTED 170549.0 local - 24
1470071422 clean_up_local_level_4_0 JOB_TERMINATED 170550.0 local - 25
1470071422 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 25
1470071422 clean_up_local_level_4_0 POST_SCRIPT_STARTED 170550.0 local - 25
1470071427 stage_out_local_local_1_1 POST_SCRIPT_TERMINATED 170549.0 local - 24
1470071427 stage_out_local_local_1_1 POST_SCRIPT_SUCCESS 0 local - 24
1470071427 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 170550.0 local - 25
1470071427 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 25
1470071427 stage_out_local_local_1_0 SUBMIT 170551.0 local - 26
1470071432 stage_out_local_local_1_0 EXECUTE 170551.0 local - 26
1470071432 register_local_1_1 SUBMIT 170552.0 local - 27
1470071437 register_local_1_1 EXECUTE 170552.0 local - 27
1470071437 register_local_1_1 JOB_TERMINATED 170552.0 local - 27
1470071437 register_local_1_1 JOB_SUCCESS 0 local - 27
1470071437 register_local_1_1 POST_SCRIPT_STARTED 170552.0 local - 27
1470071443 register_local_1_1 POST_SCRIPT_TERMINATED 170552.0 local - 27
1470071443 register_local_1_1 POST_SCRIPT_SUCCESS 0 local - 27
1470071443 e.lowabundance1.1_ID0000010 JOB_TERMINATED 170548.0 local - 23
1470071443 e.lowabundance1.1_ID0000010 JOB_SUCCESS 0 local - 23
1470071443 e.lowabundance1.1_ID0000010 POST_SCRIPT_STARTED 170548.0 local - 23
1470071448 e.lowabundance1.1_ID0000010 POST_SCRIPT_TERMINATED 170548.0 local - 23
1470071448 e.lowabundance1.1_ID0000010 POST_SCRIPT_SUCCESS 0 local - 23
1470071453 e.normalize.2_ID0000012 SUBMIT 170553.0 local - 28
1470071453 e.normalize.2_ID0000012 EXECUTE 170553.0 local - 28
1470071453 e.normalize.1_ID0000011 SUBMIT 170554.0 local - 29
1470071453 stage_out_local_local_2_1 SUBMIT 170555.0 local - 30
1470071453 stage_out_local_local_2_0 SUBMIT 170556.0 local - 31
1470071454 clean_up_local_level_5_0 SUBMIT 170557.0 local - 32
1470071464 stage_out_local_local_2_1 EXECUTE 170555.0 local - 30
1470071464 e.normalize.1_ID0000011 EXECUTE 170554.0 local - 29
1470071464 clean_up_local_level_5_0 EXECUTE 170557.0 local - 32
1470071464 stage_out_local_local_2_0 EXECUTE 170556.0 local - 31
1470071464 stage_out_local_local_2_0 JOB_TERMINATED 170556.0 local - 31
1470071464 stage_out_local_local_2_0 JOB_SUCCESS 0 local - 31
1470071464 stage_out_local_local_2_0 POST_SCRIPT_STARTED 170556.0 local - 31
1470071469 stage_out_local_local_2_0 POST_SCRIPT_TERMINATED 170556.0 local - 31
1470071469 stage_out_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 31
1470071469 e.normalize.2_ID0000012 JOB_TERMINATED 170553.0 local - 28
1470071469 e.normalize.2_ID0000012 JOB_FAILURE 1 local - 28
1470071469 e.normalize.2_ID0000012 POST_SCRIPT_STARTED 170553.0 local - 28
1470071474 e.normalize.2_ID0000012 POST_SCRIPT_TERMINATED 170553.0 local - 28
1470071474 e.normalize.2_ID0000012 POST_SCRIPT_FAILURE 1 local - 28
1470071474 clean_up_local_level_5_0 JOB_TERMINATED 170557.0 local - 32
1470071474 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 32
1470071474 clean_up_local_level_5_0 POST_SCRIPT_STARTED 170557.0 local - 32
1470071474 register_local_2_0 SUBMIT 170558.0 local - 33
1470071479 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 170557.0 local - 32
1470071479 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 32
1470071479 register_local_2_0 EXECUTE 170558.0 local - 33
1470071479 register_local_2_0 JOB_TERMINATED 170558.0 local - 33
1470071479 register_local_2_0 JOB_SUCCESS 0 local - 33
1470071479 register_local_2_0 POST_SCRIPT_STARTED 170558.0 local - 33
1470071479 e.normalize.2_ID0000012 SUBMIT 170559.0 local - 34
1470071484 register_local_2_0 POST_SCRIPT_TERMINATED 170558.0 local - 33
1470071484 register_local_2_0 POST_SCRIPT_SUCCESS 0 local - 33
1470071484 e.normalize.2_ID0000012 EXECUTE 170559.0 local - 34
1470071484 e.normalize.1_ID0000011 JOB_TERMINATED 170554.0 local - 29
1470071484 e.normalize.1_ID0000011 JOB_SUCCESS 0 local - 29
1470071484 e.normalize.1_ID0000011 POST_SCRIPT_STARTED 170554.0 local - 29
1470071489 e.normalize.1_ID0000011 POST_SCRIPT_TERMINATED 170554.0 local - 29
1470071489 e.normalize.1_ID0000011 POST_SCRIPT_SUCCESS 0 local - 29
1470071495 e.normalize.2_ID0000012 JOB_TERMINATED 170559.0 local - 34
1470071495 e.normalize.2_ID0000012 JOB_FAILURE 1 local - 34
1470071495 e.normalize.2_ID0000012 POST_SCRIPT_STARTED 170559.0 local - 34
1470071495 e.reduction_ID0000013 SUBMIT 170560.0 local - 35
1470071495 e.reduction_ID0000013 EXECUTE 170560.0 local - 35
1470071495 stage_out_local_local_3_0 SUBMIT 170561.0 local - 36
1470071495 e.cellCyc1.1_ID0000014 SUBMIT 170562.0 local - 37
1470071495 e.hvgs1_ID0000016 SUBMIT 170563.0 local - 38
1470071500 e.normalize.2_ID0000012 POST_SCRIPT_TERMINATED 170559.0 local - 34
1470071500 e.normalize.2_ID0000012 POST_SCRIPT_FAILURE 1 local - 34
1470071506 e.cellCyc1.1_ID0000014 EXECUTE 170562.0 local - 37
1470071506 stage_out_local_local_3_0 EXECUTE 170561.0 local - 36
1470071506 e.hvgs1_ID0000016 EXECUTE 170563.0 local - 38
1470071506 e.reduction_ID0000013 JOB_TERMINATED 170560.0 local - 35
1470071506 e.reduction_ID0000013 JOB_FAILURE 1 local - 35
1470071506 e.reduction_ID0000013 POST_SCRIPT_STARTED 170560.0 local - 35
1470071511 e.reduction_ID0000013 POST_SCRIPT_TERMINATED 170560.0 local - 35
1470071511 e.reduction_ID0000013 POST_SCRIPT_FAILURE 1 local - 35
1470071511 e.cellCyc1.1_ID0000014 JOB_TERMINATED 170562.0 local - 37
1470071511 e.cellCyc1.1_ID0000014 JOB_FAILURE 1 local - 37
1470071511 e.cellCyc1.1_ID0000014 POST_SCRIPT_STARTED 170562.0 local - 37
1470071516 e.cellCyc1.1_ID0000014 POST_SCRIPT_TERMINATED 170562.0 local - 37
1470071516 e.cellCyc1.1_ID0000014 POST_SCRIPT_FAILURE 1 local - 37
1470071516 e.reduction_ID0000013 SUBMIT 170564.0 local - 39
1470071521 e.reduction_ID0000013 EXECUTE 170564.0 local - 39
1470071521 e.hvgs1_ID0000016 JOB_TERMINATED 170563.0 local - 38
1470071521 e.hvgs1_ID0000016 JOB_FAILURE 1 local - 38
1470071521 e.hvgs1_ID0000016 POST_SCRIPT_STARTED 170563.0 local - 38
1470071521 e.cellCyc1.1_ID0000014 SUBMIT 170565.0 local - 40
1470071526 e.hvgs1_ID0000016 POST_SCRIPT_TERMINATED 170563.0 local - 38
1470071526 e.hvgs1_ID0000016 POST_SCRIPT_FAILURE 1 local - 38
1470071526 e.cellCyc1.1_ID0000014 EXECUTE 170565.0 local - 40
1470071526 e.reduction_ID0000013 JOB_TERMINATED 170564.0 local - 39
1470071526 e.reduction_ID0000013 JOB_FAILURE 1 local - 39
1470071526 e.reduction_ID0000013 POST_SCRIPT_STARTED 170564.0 local - 39
1470071532 e.reduction_ID0000013 POST_SCRIPT_TERMINATED 170564.0 local - 39
1470071532 e.reduction_ID0000013 POST_SCRIPT_FAILURE 1 local - 39
1470071532 e.cellCyc1.1_ID0000014 JOB_TERMINATED 170565.0 local - 40
1470071532 e.cellCyc1.1_ID0000014 JOB_FAILURE 1 local - 40
1470071532 e.cellCyc1.1_ID0000014 POST_SCRIPT_STARTED 170565.0 local - 40
1470071532 e.hvgs1_ID0000016 SUBMIT 170566.0 local - 41
1470071537 e.cellCyc1.1_ID0000014 POST_SCRIPT_TERMINATED 170565.0 local - 40
1470071537 e.cellCyc1.1_ID0000014 POST_SCRIPT_FAILURE 1 local - 40
1470071537 e.hvgs1_ID0000016 EXECUTE 170566.0 local - 41
1470071547 e.hvgs1_ID0000016 JOB_TERMINATED 170566.0 local - 41
1470071547 e.hvgs1_ID0000016 JOB_FAILURE 1 local - 41
1470071547 e.hvgs1_ID0000016 POST_SCRIPT_STARTED 170566.0 local - 41
1470071552 e.hvgs1_ID0000016 POST_SCRIPT_TERMINATED 170566.0 local - 41
1470071552 e.hvgs1_ID0000016 POST_SCRIPT_FAILURE 1 local - 41
1470071607 stage_out_local_local_1_0 JOB_TERMINATED 170551.0 local - 26
1470071607 stage_out_local_local_1_0 JOB_FAILURE 1 local - 26
1470071607 stage_out_local_local_1_0 POST_SCRIPT_STARTED 170551.0 local - 26
1470071612 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 170551.0 local - 26
1470071612 stage_out_local_local_1_0 POST_SCRIPT_FAILURE 1 local - 26
1470071632 stage_out_local_local_2_1 JOB_TERMINATED 170555.0 local - 30
1470071632 stage_out_local_local_2_1 JOB_FAILURE 1 local - 30
1470071632 stage_out_local_local_2_1 POST_SCRIPT_STARTED 170555.0 local - 30
1470071638 stage_out_local_local_2_1 POST_SCRIPT_TERMINATED 170555.0 local - 30
1470071638 stage_out_local_local_2_1 POST_SCRIPT_FAILURE 1 local - 30
1470071643 stage_out_local_local_2_1 SUBMIT 170567.0 local - 42
1470071648 stage_out_local_local_2_1 EXECUTE 170567.0 local - 42
1470071668 stage_out_local_local_3_0 JOB_TERMINATED 170561.0 local - 36
1470071668 stage_out_local_local_3_0 JOB_FAILURE 1 local - 36
1470071668 stage_out_local_local_3_0 POST_SCRIPT_STARTED 170561.0 local - 36
1470071673 stage_out_local_local_3_0 POST_SCRIPT_TERMINATED 170561.0 local - 36
1470071673 stage_out_local_local_3_0 POST_SCRIPT_FAILURE 1 local - 36
1470071678 stage_out_local_local_3_0 SUBMIT 170568.0 local - 43
1470071683 stage_out_local_local_3_0 EXECUTE 170568.0 local - 43
1470071829 stage_out_local_local_2_1 JOB_TERMINATED 170567.0 local - 42
1470071829 stage_out_local_local_2_1 JOB_FAILURE 1 local - 42
1470071829 stage_out_local_local_2_1 POST_SCRIPT_STARTED 170567.0 local - 42
1470071834 stage_out_local_local_2_1 POST_SCRIPT_TERMINATED 170567.0 local - 42
1470071834 stage_out_local_local_2_1 POST_SCRIPT_FAILURE 1 local - 42
1470071844 stage_out_local_local_3_0 JOB_TERMINATED 170568.0 local - 43
1470071844 stage_out_local_local_3_0 JOB_FAILURE 1 local - 43
1470071844 stage_out_local_local_3_0 POST_SCRIPT_STARTED 170568.0 local - 43
1470071849 stage_out_local_local_3_0 POST_SCRIPT_TERMINATED 170568.0 local - 43
1470071849 stage_out_local_local_3_0 POST_SCRIPT_FAILURE 1 local - 43
1470071849 INTERNAL *** DAGMAN_FINISHED 1 ***
1470071850 INTERNAL *** MONITORD_FINISHED 0 ***
